source,lat,lon,date,PRECTOTCORR,PS,RH2M,T2M,WS2M
NASA_POWER,4.65847,-74.08396,2021-09-09,0.06,82.33,66.96,20.56,1.58
NASA_POWER,4.65847,-74.08396,2021-09-10,0.08,82.35,68.14,19.33,1.62
NASA_POWER,4.65847,-74.08396,2021-09-11,13.54,82.43,72.13,19.01,1.48
NASA_POWER,4.65847,-74.08396,2021-09-12,9.37,82.52,72.36,18.73,2.16
NASA_POWER,4.65847,-74.08396,2021-09-13,0.14,82.51,66.24,19.39,1.14
NASA_POWER,4.65847,-74.08396,2021-09-14,0.2,82.4,68.88,20.09,0.8
NASA_POWER,4.65847,-74.08396,2021-09-15,2.3,82.42,72.45,19.4,1.15
NASA_POWER,4.65847,-74.08396,2021-09-16,0.3,82.49,69.79,18.73,1.98
NASA_POWER,4.65847,-74.08396,2021-09-17,1.35,82.46,68.0,19.21,2.01
NASA_POWER,4.65847,-74.08396,2021-09-18,0.44,82.36,68.17,18.39,1.42
NASA_POWER,4.65847,-74.08396,2021-09-19,0.02,82.32,67.3,19.06,0.71
NASA_POWER,4.65847,-74.08396,2021-09-20,0.73,82.31,73.04,19.66,0.7
NASA_POWER,4.65847,-74.08396,2021-09-21,18.58,82.34,73.55,19.55,1.1
NASA_POWER,4.65847,-74.08396,2021-09-22,20.39,82.33,78.95,18.72,1.5
NASA_POWER,4.65847,-74.08396,2021-09-23,1.68,82.35,74.45,18.66,1.42
NASA_POWER,4.65847,-74.08396,2021-09-24,10.9,82.42,74.93,18.22,2.14
NASA_POWER,4.65847,-74.08396,2021-09-25,14.59,82.48,77.95,17.75,2.04
NASA_POWER,4.65847,-74.08396,2021-09-26,0.43,82.44,70.93,18.68,1.71
NASA_POWER,4.65847,-74.08396,2021-09-27,0.0,82.45,71.13,19.03,1.09
NASA_POWER,4.65847,-74.08396,2021-09-28,3.77,82.38,72.68,19.11,1.06
NASA_POWER,4.65847,-74.08396,2021-09-29,0.28,82.35,72.51,19.16,0.73
NASA_POWER,4.65847,-74.08396,2021-09-30,1.08,82.37,77.66,18.45,0.77
NASA_POWER,4.65847,-74.08396,2021-10-01,0.19,82.26,70.02,19.75,1.34
NASA_POWER,4.65847,-74.08396,2021-10-02,0.08,82.22,70.72,20.45,0.9
NASA_POWER,4.65847,-74.08396,2021-10-03,1.26,82.12,71.93,20.99,0.68
NASA_POWER,4.65847,-74.08396,2021-10-04,1.2,82.12,73.99,20.85,0.73
NASA_POWER,4.65847,-74.08396,2021-10-05,8.3,82.19,80.67,19.77,0.78
NASA_POWER,4.65847,-74.08396,2021-10-06,2.25,82.21,73.21,20.58,1.56
NASA_POWER,4.65847,-74.08396,2021-10-07,0.03,82.19,70.61,20.48,1.06
NASA_POWER,4.65847,-74.08396,2021-10-08,0.0,82.25,70.28,20.03,1.06
NASA_POWER,4.65847,-74.08396,2021-10-09,7.86,82.25,75.89,20.03,0.59
NASA_POWER,4.65847,-74.08396,2021-10-10,10.61,82.3,79.54,19.31,0.8
NASA_POWER,4.65847,-74.08396,2021-10-11,0.35,82.38,82.53,19.12,0.42
NASA_POWER,4.65847,-74.08396,2021-10-12,0.32,82.32,72.07,20.17,1.18
NASA_POWER,4.65847,-74.08396,2021-10-13,0.01,82.29,71.55,20.53,0.8
NASA_POWER,4.65847,-74.08396,2021-10-14,0.1,82.24,79.8,19.6,0.75
NASA_POWER,4.65847,-74.08396,2021-10-15,2.71,82.26,73.22,20.66,1.03
NASA_POWER,4.65847,-74.08396,2021-10-16,2.69,82.37,81.84,18.94,0.58
NASA_POWER,4.65847,-74.08396,2021-10-17,2.25,82.44,78.67,18.93,0.63
