Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,2,2023,5040,ALL,ALL,Hombre,45TO49
1,2,2023,3486,ALL,ALL,Hombre,5TO9
1,2,2023,4367,ALL,ALL,Hombre,50TO54
1,2,2023,4239,ALL,ALL,Hombre,55TO59
1,2,2023,3921,ALL,ALL,Hombre,60TO64
1,2,2023,3023,ALL,ALL,Hombre,65TO69
1,2,2023,2137,ALL,ALL,Hombre,70TO74
1,2,2023,1381,ALL,ALL,Hombre,75TO79
1,2,2023,927,ALL,ALL,Hombre,80TO84
1,2,2023,485,ALL,ALL,Hombre,85TO89
1,2,2023,247,ALL,ALL,Hombre,90TO94
1,2,2023,98,ALL,ALL,Hombre,95TO99
1,2,2023,4449,ALL,ALL,Mujer,0TO4
1,2,2023,3134,ALL,ALL,Mujer,10TO14
1,2,2023,80,ALL,ALL,Mujer,100UP
1,2,2023,3744,ALL,ALL,Mujer,15TO19
1,2,2023,5351,ALL,ALL,Mujer,20TO24
1,2,2023,7207,ALL,ALL,Mujer,25TO29
1,2,2023,7023,ALL,ALL,Mujer,30TO34
1,2,2023,6232,ALL,ALL,Mujer,35TO39
1,2,2023,5734,ALL,ALL,Mujer,40TO44
1,2,2023,5047,ALL,ALL,Mujer,45TO49
1,2,2023,3103,ALL,ALL,Mujer,5TO9
1,2,2023,4611,ALL,ALL,Mujer,50TO54
1,2,2023,4906,ALL,ALL,Mujer,55TO59
1,2,2023,4720,ALL,ALL,Mujer,60TO64
1,2,2023,3881,ALL,ALL,Mujer,65TO69
1,2,2023,3076,ALL,ALL,Mujer,70TO74
1,2,2023,2113,ALL,ALL,Mujer,75TO79
1,2,2023,1423,ALL,ALL,Mujer,80TO84
1,2,2023,875,ALL,ALL,Mujer,85TO89
1,2,2023,477,ALL,ALL,Mujer,90TO94
1,2,2023,206,ALL,ALL,Mujer,95TO99
1,2,2024,5001,ALL,ALL,Hombre,0TO4
1,2,2024,3602,ALL,ALL,Hombre,10TO14
1,2,2024,23,ALL,ALL,Hombre,100UP
1,2,2024,3828,ALL,ALL,Hombre,15TO19
1,2,2024,5294,ALL,ALL,Hombre,20TO24
1,2,2024,7859,ALL,ALL,Hombre,25TO29
1,2,2024,8049,ALL,ALL,Hombre,30TO34
1,2,2024,7482,ALL,ALL,Hombre,35TO39
1,2,2024,6367,ALL,ALL,Hombre,40TO44
1,2,2024,5354,ALL,ALL,Hombre,45TO49
1,2,2024,3575,ALL,ALL,Hombre,5TO9
1,2,2024,4566,ALL,ALL,Hombre,50TO54
1,2,2024,4328,ALL,ALL,Hombre,55TO59
1,2,2024,4025,ALL,ALL,Hombre,60TO64
1,2,2024,3214,ALL,ALL,Hombre,65TO69
1,2,2024,2226,ALL,ALL,Hombre,70TO74
1,2,2024,1466,ALL,ALL,Hombre,75TO79
1,2,2024,939,ALL,ALL,Hombre,80TO84
1,2,2024,483,ALL,ALL,Hombre,85TO89
1,2,2024,211,ALL,ALL,Hombre,90TO94
1,2,2024,75,ALL,ALL,Hombre,95TO99
1,2,2024,4736,ALL,ALL,Mujer,0TO4
1,2,2024,3137,ALL,ALL,Mujer,10TO14
1,2,2024,60,ALL,ALL,Mujer,100UP
1,2,2024,3638,ALL,ALL,Mujer,15TO19
1,2,2024,5055,ALL,ALL,Mujer,20TO24
1,2,2024,7083,ALL,ALL,Mujer,25TO29
1,2,2024,7180,ALL,ALL,Mujer,30TO34
1,2,2024,6457,ALL,ALL,Mujer,35TO39
1,2,2024,5854,ALL,ALL,Mujer,40TO44
1,2,2024,5230,ALL,ALL,Mujer,45TO49
1,2,2024,3214,ALL,ALL,Mujer,5TO9
1,2,2024,4688,ALL,ALL,Mujer,50TO54
1,2,2024,4820,ALL,ALL,Mujer,55TO59
1,2,2024,4829,ALL,ALL,Mujer,60TO64
